Sub_ID,Study_ID,Lang_Group,Dom_Lang,Age_Days,Age_Months,Sex,Mat_Edu_Years,Lang_Exp_Eng,Lang_Exp_Fr,Lang_Exp_Other,Other_Lang,Eng_CDI_Filled_By,Fr_CDI_Filled_By,Visit_Num,TotalNW_Eng,TotalNW_Fr,Total_Vocabulary,Total_Conceptual_Vocabulary,Total_Number_TEs,Prop_TEs
1065,S67,Bilingual,French,643,21,M,16,41.6,58.4,0,NA,Mother,Mother,1,21,67,88,77,11,0.25
1066,S03,Bilingual,English,613,20,M,11,53,47,0,NA,Mother,Mother,1,6,12,18,15,3,0.333333333
1066,S33,Bilingual,French,742,24,M,15,46.67,53.33,0,NA,Mother,Mother,2,23,20,43,33,10,0.465116279
1067,S145,Bilingual,French,753,24,M,18,49.5,50.5,0,NA,Mother,Mother,1,57,179,236,187,49,0.415254237
1068,S68,Bilingual,English,620,20,F,16,63,37,0,NA,Mother,Mother,1,168,138,306,217,89,0.581699346
1068,S69,Bilingual,English,738,24,F,16,59,41,0,NA,Mother,Mother,2,238,187,425,301,124,0.583529412
1069,S08,Bilingual,French,611,20,F,12,35.45,64.55,0,NA,NA,NA,1,58,169,227,185,42,0.370044053
1070,S146,Bilingual,French,615,20,M,18,43,57,0,NA,Other_family_member,Other_family_member,1,71,58,129,90,39,0.604651163
1071,S79,Trilingual,English,640,21,M,18,52,20,28,Portuguese,Mother,Mother,1,53,69,122,89,33,0.540983607
1072,S70,Bilingual,French,609,20,M,16,47.2,52.8,0,NA,Mother,Mother,1,30,108,138,118,20,0.289855072
1073,S187,Bilingual,French,743,24,M,18,38,62,0,NA,NA,NA,1,110,146,256,189,67,0.5234375
1074,S71,Bilingual,English,755,24,M,16,74.25,25.75,0,NA,Father,Father,1,175,84,259,203,56,0.432432432
1075,S72,Bilingual,English,605,19,M,16,62,38,0,NA,Mother,Mother,1,234,89,323,252,71,0.439628483
1076,S73,Bilingual,French,627,20,M,16,27,74,0,NA,Father,Father,1,20,112,132,117,15,0.227272727
1077,S74,Bilingual,French,725,23,M,16,25.22,74.79,0,NA,Mother,Mother,1,22,341,363,348,15,0.082644628
1078,S147,Bilingual,English,627,20,F,18,66,34,0,NA,Mother,Mother,1,252,189,441,299,142,0.64399093
1078,S148,Bilingual,English,1009,33,F,18,58,42,0,NA,Mother,Mother,2,526,454,980,596,384,0.783673469
1079,S149,Bilingual,English,765,25,F,18,67,33,0,NA,Mother,Mother,1,466,285,751,498,253,0.673768309
1080,S75,Bilingual,English,657,21,M,16,61.5,38.5,0,NA,Mother,Mother,1,64,41,105,83,22,0.419047619
1081,S76,Bilingual,French,921,30,M,16,43,57,0,NA,Mother,Mother,1,67,92,159,127,32,0.402515723
1082,S34,Bilingual,English,911,29,F,15,68,32,0,NA,Mother,Mother,1,581,244,825,604,221,0.535757576
1083,S150,Bilingual,French,914,30,F,18,42,58,0,NA,Mother,Mother,1,104,406,510,433,77,0.301960784
1084,S93,Trilingual,English,972,31,F,13,53.08,31.43,15.99,Spanish,Mother,Mother,1,270,138,408,300,108,0.529411765
1085,S210,Bilingual,English,924,30,F,21,64,36,0,NA,Mother,Mother,1,618,306,924,641,283,0.612554113
1086,S188,Bilingual,French,993,32,M,12,35.5,64.5,0,NA,Mother,Mother,1,167,417,584,448,136,0.465753425
1087,S77,Bilingual,French,983,32,M,16,30.5,69.5,0,NA,Mother,Mother,1,52,256,308,264,44,0.285714286
1088,S189,Bilingual,French,983,32,M,13,27,73,0,NA,Mother,Mother,1,115,292,407,341,66,0.324324324
1089,S13,Bilingual,English,935,30,M,13,62.28,37.72,0,NA,Mother,Mother,1,211,248,459,311,148,0.644880174
1090,S151,Bilingual,English,914,30,F,18,75,25,0,NA,Mother,Mother,2,288,14,302,289,13,0.086092715
